Company,TypeName,Ram,OpSys,Weight,Price_euros,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand
Dell,Notebook,8,Windows 10,0.7701082216960737,1130.33,0,1,4.950262293702735,Intel Core i7,1000,256,Nvidia
Asus,Notebook,4,Windows 10,0.6931471805599453,564.0,0,0,4.846826706454493,Intel Core i3,1000,0,Nvidia
Asus,Notebook,8,Windows 10,0.5306282510621704,1118.0,0,0,4.950262293702735,Intel Core i7,0,256,Nvidia
Acer,Notebook,6,Windows 10,0.7419373447293773,479.0,1,1,4.950262293702735,Intel Core i3,1000,0,Intel
MSI,Gaming,16,Windows 10,0.5877866649021191,2241.5,0,0,4.950262293702735,Intel Core i7,2000,256,Nvidia
Lenovo,Notebook,8,No OS,0.7884573603642703,629.0,0,0,4.950262293702735,Intel Core i5,0,256,Nvidia
HP,Notebook,16,Windows 10,0.9162907318741551,1271.0,0,0,4.846826706454493,Intel Core i7,0,512,Nvidia
Acer,Notebook,4,Windows 10,0.7419373447293773,451.0,0,0,4.609706579589369,AMD Processor,0,256,AMD
HP,Notebook,4,No OS,0.62057648772511,259.0,0,0,4.609706579589369,Other Intel Processor,500,0,Intel
HP,Notebook,8,Windows 10,0.4885800148186709,812.0,0,0,5.058475878342969,Intel Core i5,1000,0,Intel
Asus,Notebook,4,Windows 10 S,0.5007752879124892,277.99,0,0,4.717920164229602,AMD Processor,0,64,AMD
Dell,Notebook,16,Windows 10,1.0296194171811581,1396.0,0,0,4.846826706454493,Intel Core i7,2000,256,AMD
HP,Notebook,8,Windows 10,0.9162907318741551,928.0,0,0,4.846826706454493,Intel Core i5,0,256,Intel
Dell,Notebook,8,Windows 10,0.8586616190375187,638.99,0,0,4.609706579589369,Intel Core i5,1000,0,AMD
Dell,Notebook,4,Windows 10,0.7884573603642703,449.0,0,0,4.950262293702735,Intel Core i3,1000,0,AMD
Acer,Ultrabook,8,Windows 10,0.47000362924573563,884.0,0,1,5.058475878342969,Intel Core i7,0,256,Intel
